datetime,Open,High,Low,Close,price,total_liquidations,long_liquidations,short_liquidations,liquidation_count,Volume
2024-12-07 21:30:00,100441.97,100441.97,99427.82,99427.82,99646.144,74828.83295,4821.07281,70007.76014,15,74828.83295
2024-12-07 21:35:00,99334.46,99416.26,99334.46,99405.5,99396.13,500250.9808200001,0.0,500250.9808200001,5,500250.9808200001
2024-12-07 21:40:00,99394.81,99394.81,99304.76,99304.76,99349.785,137636.48741,0.0,137636.48741,2,137636.48741
2024-12-07 21:45:00,99394.81,99394.81,99304.76,99304.76,99349.785,0.0,0.0,0.0,0,0.0
2024-12-07 21:50:00,99394.81,99394.81,99304.76,99304.76,99349.785,0.0,0.0,0.0,0,0.0
2024-12-07 21:55:00,99394.81,99394.81,99304.76,99304.76,99349.785,0.0,0.0,0.0,0,0.0
2024-12-07 22:00:00,99394.81,99394.81,99304.76,99304.76,99349.785,0.0,0.0,0.0,0,0.0
2024-12-07 22:05:00,99483.9,99483.9,99483.9,99483.9,99483.9,596.9034,0.0,596.9034,1,596.9034
2024-12-07 22:10:00,99483.9,99483.9,99483.9,99483.9,99483.9,0.0,0.0,0.0,0,0.0
2024-12-07 22:15:00,99483.9,99483.9,99483.9,99483.9,99483.9,0.0,0.0,0.0,0,0.0
2024-12-07 22:20:00,99483.9,99483.9,99483.9,99483.9,99483.9,0.0,0.0,0.0,0,0.0
2024-12-07 22:25:00,99483.9,99483.9,99483.9,99483.9,99483.9,0.0,0.0,0.0,0,0.0
2024-12-07 22:30:00,99483.9,99483.9,99483.9,99483.9,99483.9,0.0,0.0,0.0,0,0.0
2024-12-07 22:35:00,99483.9,99483.9,99483.9,99483.9,99483.9,0.0,0.0,0.0,0,0.0
2024-12-07 22:40:00,99483.9,99483.9,99483.9,99483.9,99483.9,0.0,0.0,0.0,0,0.0
2024-12-07 22:45:00,99483.9,99483.9,99483.9,99483.9,99483.9,0.0,0.0,0.0,0,0.0
2024-12-07 22:50:00,99483.9,99483.9,99483.9,99483.9,99483.9,0.0,0.0,0.0,0,0.0
2024-12-07 22:55:00,99416.73,100107.91,99256.53,99256.53,99364.011875,22447.10758,500.53955,21946.568030000002,16,22447.10758
2024-12-07 23:00:00,99274.0,99274.0,99256.73,99256.73,99263.08,1091.8448600000002,0.0,1091.8448600000002,3,1091.8448600000002
2024-12-07 23:05:00,99274.0,99274.0,99256.73,99256.73,99263.08,0.0,0.0,0.0,0,0.0
2024-12-07 23:10:00,99274.0,99274.0,99256.73,99256.73,99263.08,0.0,0.0,0.0,0,0.0
2024-12-07 23:15:00,99535.01,99535.01,99535.01,99535.01,99535.01,497.67505,0.0,497.67505,1,497.67505
2024-12-07 23:20:00,99535.01,99535.01,99535.01,99535.01,99535.01,0.0,0.0,0.0,0,0.0
2024-12-07 23:25:00,100441.9,100441.9,100441.9,100441.9,100441.9,3214.1408,3214.1408,0.0,1,3214.1408
2024-12-07 23:30:00,100527.94,100717.75,100527.94,100717.75,100644.63399999999,84229.40581,84229.40581,0.0,20,84229.40581
2024-12-07 23:35:00,99767.93,100538.88,99749.58,100538.88,100018.79666666668,5801.94059,2010.7776,3791.1629900000003,3,5801.94059
2024-12-07 23:40:00,99767.93,100538.88,99749.58,100538.88,100018.79666666668,0.0,0.0,0.0,0,0.0
2024-12-07 23:45:00,100288.37,100288.37,100288.37,100288.37,100288.37,501.44185,501.44185,0.0,1,501.44185
2024-12-07 23:50:00,100242.5,100242.5,99394.74,99394.74,99678.20333333332,2588.52308,501.2125,2087.3105800000003,3,2588.52308
2024-12-07 23:55:00,99368.73,100292.26,99368.73,100292.26,99830.495,795.87337,100.29226,695.58111,2,795.87337
2024-12-08 00:00:00,100247.99,100277.36,99449.29,100272.66,99943.13200000001,33865.72146,30484.27397,3381.44749,5,33865.72146
2024-12-08 00:05:00,100247.99,100277.36,99449.29,100272.66,99943.13200000001,0.0,0.0,0.0,0,0.0
2024-12-08 00:10:00,100193.95,100193.95,100193.95,100193.95,100193.95,200.3879,200.3879,0.0,1,200.3879
2024-12-08 00:15:00,99337.21,99337.21,99329.58,99329.58,99333.395,11025.81228,0.0,11025.81228,2,11025.81228
2024-12-08 00:20:00,99443.11,99479.98,99443.11,99479.98,99461.545,2685.25893,0.0,2685.25893,2,2685.25893
2024-12-08 00:25:00,100005.56,100005.56,100005.56,100005.56,100005.56,4100.22796,4100.22796,0.0,1,4100.22796
2024-12-08 00:30:00,99488.99,99488.99,99488.99,99488.99,99488.99,298.46697,0.0,298.46697,1,298.46697
2024-12-08 00:35:00,99488.99,99488.99,99488.99,99488.99,99488.99,0.0,0.0,0.0,0,0.0
2024-12-08 00:40:00,99488.99,99488.99,99488.99,99488.99,99488.99,0.0,0.0,0.0,0,0.0
2024-12-08 00:45:00,100355.36,100355.36,100296.42,100296.42,100325.89,5616.7174,5616.7174,0.0,2,5616.7174
2024-12-08 00:50:00,100355.36,100355.36,100296.42,100296.42,100325.89,0.0,0.0,0.0,0,0.0
2024-12-08 00:55:00,100436.54,100436.54,100436.54,100436.54,100436.54,401.74616,401.74616,0.0,1,401.74616
2024-12-08 01:00:00,100458.42,100477.67,100458.42,100477.67,100468.045,2210.47024,2210.47024,0.0,2,2210.47024
2024-12-08 01:05:00,100458.42,100477.67,100458.42,100477.67,100468.045,0.0,0.0,0.0,0,0.0
2024-12-08 01:10:00,100458.42,100477.67,100458.42,100477.67,100468.045,0.0,0.0,0.0,0,0.0
2024-12-08 01:15:00,100458.42,100477.67,100458.42,100477.67,100468.045,0.0,0.0,0.0,0,0.0
2024-12-08 01:20:00,100522.81,100571.06,100522.81,100566.05,100553.175,68374.10832,68374.10832,0.0,6,68374.10832
2024-12-08 01:25:00,100522.81,100571.06,100522.81,100566.05,100553.175,0.0,0.0,0.0,0,0.0
2024-12-08 01:30:00,99580.03,99580.03,99414.11,99414.11,99497.07,3480.4893700000002,0.0,3480.4893700000002,2,3480.4893700000002
2024-12-08 01:35:00,99361.55,99462.58,99347.87,99462.58,99384.09,14705.87287,0.0,14705.87287,4,14705.87287
2024-12-08 01:40:00,99361.55,99462.58,99347.87,99462.58,99384.09,0.0,0.0,0.0,0,0.0
2024-12-08 01:45:00,99361.55,99462.58,99347.87,99462.58,99384.09,0.0,0.0,0.0,0,0.0
2024-12-08 01:50:00,99512.1,99512.1,99512.1,99512.1,99512.1,1592.1936,0.0,1592.1936,1,1592.1936
2024-12-08 01:55:00,99512.1,99512.1,99512.1,99512.1,99512.1,0.0,0.0,0.0,0,0.0
2024-12-08 02:00:00,99512.1,99512.1,99512.1,99512.1,99512.1,0.0,0.0,0.0,0,0.0
2024-12-08 02:05:00,99512.1,99512.1,99512.1,99512.1,99512.1,0.0,0.0,0.0,0,0.0
2024-12-08 02:10:00,99512.1,99512.1,99512.1,99512.1,99512.1,0.0,0.0,0.0,0,0.0
2024-12-08 02:15:00,100327.24,100327.24,100327.24,100327.24,100327.24,3110.14444,3110.14444,0.0,1,3110.14444
2024-12-08 02:20:00,100549.95,100578.54,100549.95,100578.54,100564.245,1709.66364,1709.66364,0.0,2,1709.66364
2024-12-08 02:25:00,100612.88,100678.34,100612.88,100678.34,100643.2590909091,61999.36212,61999.36212,0.0,11,61999.36212
2024-12-08 02:30:00,100612.88,100678.34,100612.88,100678.34,100643.2590909091,0.0,0.0,0.0,0,0.0
2024-12-08 02:35:00,100612.88,100678.34,100612.88,100678.34,100643.2590909091,0.0,0.0,0.0,0,0.0
2024-12-08 02:40:00,100682.5,100702.14,100682.5,100702.14,100691.872,5034.82966,5034.82966,0.0,5,5034.82966
2024-12-08 02:45:00,100721.68,100803.17,100721.68,100803.17,100764.415625,22570.66941,22570.66941,0.0,16,22570.66941
2024-12-08 02:50:00,100559.06,100559.06,100559.06,100559.06,100559.06,3217.88992,3217.88992,0.0,1,3217.88992
2024-12-08 02:55:00,100559.06,100559.06,100559.06,100559.06,100559.06,0.0,0.0,0.0,0,0.0
2024-12-08 03:00:00,100559.06,100559.06,100559.06,100559.06,100559.06,0.0,0.0,0.0,0,0.0
2024-12-08 03:05:00,100559.06,100559.06,100559.06,100559.06,100559.06,0.0,0.0,0.0,0,0.0
2024-12-08 03:10:00,100559.06,100559.06,100559.06,100559.06,100559.06,0.0,0.0,0.0,0,0.0
2024-12-08 03:15:00,100559.06,100559.06,100559.06,100559.06,100559.06,0.0,0.0,0.0,0,0.0
2024-12-08 03:20:00,100503.72,100590.29,100503.72,100590.29,100547.005,703.69918,703.69918,0.0,2,703.69918
2024-12-08 03:25:00,100611.86,100611.86,100611.86,100611.86,100611.86,402.44744,402.44744,0.0,1,402.44744
2024-12-08 03:30:00,100519.52,100519.52,100505.95,100505.95,100512.735,201.02546999999998,201.02546999999998,0.0,2,201.02546999999998
2024-12-08 03:35:00,100519.52,100519.52,100505.95,100505.95,100512.735,0.0,0.0,0.0,0,0.0
2024-12-08 03:40:00,100519.52,100519.52,100505.95,100505.95,100512.735,0.0,0.0,0.0,0,0.0
2024-12-08 03:45:00,100519.52,100519.52,100505.95,100505.95,100512.735,0.0,0.0,0.0,0,0.0
2024-12-08 03:50:00,100519.52,100519.52,100505.95,100505.95,100512.735,0.0,0.0,0.0,0,0.0
2024-12-08 03:55:00,99575.11,99575.11,99575.11,99575.11,99575.11,6671.532370000001,0.0,6671.532370000001,1,6671.532370000001
2024-12-08 04:00:00,100433.22,100440.38,100395.65,100395.65,100424.65,36455.85015,36455.85015,0.0,4,36455.85015
2024-12-08 04:05:00,100353.88,100469.63,100353.88,100457.73,100430.5425,11653.64983,11653.64983,0.0,4,11653.64983
2024-12-08 04:10:00,100457.73,100457.73,100453.13,100453.13,100455.2,1707.74829,1707.74829,0.0,3,1707.74829
2024-12-08 04:15:00,100444.93,100444.93,100437.61,100437.61,100441.26999999999,16472.93924,16472.93924,0.0,2,16472.93924
2024-12-08 04:20:00,99696.98,100486.37,99412.83,99412.83,99812.27666666667,45595.56317,4219.33286,41376.23031,12,45595.56317
2024-12-08 04:25:00,99696.98,100486.37,99412.83,99412.83,99812.27666666667,0.0,0.0,0.0,0,0.0
2024-12-08 04:30:00,99696.98,100486.37,99412.83,99412.83,99812.27666666667,0.0,0.0,0.0,0,0.0
2024-12-08 04:35:00,99405.81,99405.81,99364.87,99364.87,99389.63,1987.6991999999998,0.0,1987.6991999999998,3,1987.6991999999998
2024-12-08 04:40:00,99411.3,99411.3,99411.3,99411.3,99411.3,198.8226,0.0,198.8226,1,198.8226
2024-12-08 04:45:00,99411.3,99411.3,99411.3,99411.3,99411.3,0.0,0.0,0.0,0,0.0
2024-12-08 04:50:00,99507.05,99507.05,99507.05,99507.05,99507.05,298.52115000000003,0.0,298.52115000000003,1,298.52115000000003
2024-12-08 04:55:00,99463.49,99463.49,99432.21,99432.21,99447.85,1292.93153,0.0,1292.93153,2,1292.93153
2024-12-08 05:00:00,99396.37,99396.37,99396.37,99396.37,99396.37,198.79274,0.0,198.79274,1,198.79274
2024-12-08 05:05:00,100220.07,100220.07,99282.38,99282.38,99393.66083333333,35869.14843,801.76056,35067.38787,12,35869.14843
2024-12-08 05:10:00,99274.93,100146.43,99232.8,99339.37,99334.57357142857,26602.98394,300.43929,26302.54465,14,26602.98394
2024-12-08 05:15:00,100154.39,100154.39,99230.21,99230.21,99364.85636363635,41836.24781,5107.87389,36728.37392,11,41836.24781
2024-12-08 05:20:00,100154.39,100154.39,99230.21,99230.21,99364.85636363635,0.0,0.0,0.0,0,0.0
2024-12-08 05:25:00,99227.2,99227.2,99124.94,99124.94,99180.21,5949.87074,0.0,5949.87074,9,5949.87074
2024-12-08 05:30:00,99227.2,99227.2,99124.94,99124.94,99180.21,0.0,0.0,0.0,0,0.0
2024-12-08 05:35:00,99227.2,99227.2,99124.94,99124.94,99180.21,0.0,0.0,0.0,0,0.0
2024-12-08 05:40:00,99227.2,99227.2,99124.94,99124.94,99180.21,0.0,0.0,0.0,0,0.0
2024-12-08 05:45:00,99187.36,99187.36,99053.91,99110.47,99113.94470588236,105359.14382,0.0,105359.14382,17,105359.14382
2024-12-08 05:50:00,99040.54,99040.54,99021.85,99021.85,99031.88166666667,43080.508109999995,0.0,43080.508109999995,6,43080.508109999995
